Organization Name,Organization Name URL,Estimated Revenue Range,IPO Status,Operating Status,Acquisition Status,Company Type,Number of Employees,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
Inspur Cloud,https://www.crunchbase.com/organization/inspur-cloud,$1B to $10B,Private,Active,,For Profit,10001+,"Inspur Cloud provides datacenter and cloud computing solutions worldwide. It offers servers, storage systems, artificial intelligence, and HPC solutions; and tax cloud, set top box and home gateway, and financial terminals.  Inspur Cloud also offers software outsourcing services. It serves government, enterprise, and industrial customers.  Inspur Cloud began operation in 2010. It has its headquarters in Jinan in China.","Artificial Intelligence (AI), Cloud Computing, Cloud Data Services, Enterprise, Information Technology, Software","Jinan, Shandong, China",Inspur Cloud provides datacenter and cloud computing solutions worldwide.,"124,271"
Webomates,https://www.crunchbase.com/organization/webomates,$1B to $10B,Private,Active,,For Profit,101-250,"Webomates provides a revolutionary patented cloud-based AI QA platform to carry out software regression testing in guaranteed timeframes. The platform creates test cases and executes them using multiple testing execution techniques like AI Automation, Automation, Crowdsource & manual. The results are analyzed triaged and actionable defects are listed.","Artificial Intelligence (AI), Enterprise Software, Information Technology, Productivity Tools, SaaS, Software","Stamford, Connecticut, United States","Revolutionary SAAS platform that creates, executes and analyzes test cases to make your regression test effortless.","125,580"
Thankful,https://www.crunchbase.com/organization/abot-labs-inc,$1B to $10B,Private,Active,,For Profit,Nov-50,"Developer of an automation software created to improve online customer service. The company's software utilizes artificial intelligence to deflect half of inbound queries that are the repetitive tasks and leaves customer care agents more time to solve difficult and interesting issues, enabling clients of eCommerce customer service to improve customer satisfaction and lower costs.","Artificial Intelligence (AI), Customer Service, Software","Los Angeles, California, United States",Thankful is a Developer of an automation software created to improve online customer service.,"125,999"
Machine Can See,https://www.crunchbase.com/organization/machine-can-see,$1B to $10B,Private,Active,,For Profit,10-Jan,"We have developed a solution that allows us to transform any ordinary camera into a pseudo-LiDAR system. This technology allows us to capture 3D data from the environment using a standard 2D camera, providing many of the same benefits as a LiDAR system at a fraction of the cost. Our patented technology enables detailed highway traffic analysis in 3D, which can improve road planning and allow for real-time traffic management. Our pseudo-LiDAR technology is versatile and can be used in a wide range of applications, including traffic management, real-time monitoring, and parking occupancy monitoring. With this technology, we are able to provide our clients with access to powerful 3D sensing capabilities, enabling them to unlock new possibilities and drive innovation.","Analytics, Artificial Intelligence (AI), Big Data, Computer Vision, Machine Learning, Mapping Services, Parking, Smart Cities, Transportation","Greenvale, New York, United States",Our AI-powered Pseudo-LiDAR technology transforms any Monocular camera into an advanced object monitoring system,"126,215"
Spixii,https://www.crunchbase.com/organization/spixii,$1B to $10B,Private,Active,,For Profit,Nov-50,Spixii is a leader in Conversational Process Automation (CPA) for customer-facing insurance processes. Spixii CPA combined  white-labelled intelligent chatbots coupled with robust integrations via Spixii Connectivity Hub. Spixii CPA platform enables continuous improvement thanks to Advanced Analytics communicated in Business Insights reports.,"Artificial Intelligence (AI), Enterprise Software, InsurTech, Machine Learning, Software, Virtual Assistant","London, England, United Kingdom",Accelerate digitalisation of insurance processes with Spixii Conversational Process Automation (CPA) platform,"126,969"
Mobileye,https://www.crunchbase.com/organization/mobileye-vision-technologies,$1B to $10B,Public,Active,"Made Acquisitions, Was Acquired",For Profit,1001-5000,"Mobileye leads the mobility revolution with its autonomous-driving and driver-assist technologies, harnessing world-renowned expertise in computer vision, machine learning, mapping, and data analysis. Our technology enables self-driving vehicles and powers industry-leading driver assistance systems to optimize mobility infrastructure.","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning, Transportation","Jerusalem, Yerushalayim, Israel",Mobileye is a mobility technology company that develops self-driving systems for autonomous public transportation.,"127,043"
eSwapp,https://www.crunchbase.com/organization/eswapp,$1B to $10B,Private,Active,,For Profit,10-Jan,"eSwapp is a SaaS platform powered by Machine Learning to find best matches instantly for colleagues to give and get skills, such as swapping marketing skills for IT skills. eSwapp helps organisations to instantly identify skill gaps and make informed business decisions through our AI-powered skill predictions.  The team has a combination of technical and commercial skills, having worked for multinational companies such as Google, Danone and RBS…, as well as from academia such as University of Cambridge and Yale University.  But most importantly, we all share the same vision to revolutionise Learning and Development within organisations, so everyone can have one-on-one training with a colleague, on a skill they genuinely want and need.","Artificial Intelligence (AI), Enterprise Applications, Information Technology, Internet, Machine Learning, SaaS, Software","London, England, United Kingdom","SaaS, application, Machine Learning","127,819"
SoftBank Capital,https://www.crunchbase.com/organization/softbank-capital,$10B+,Private,Active,"Made Acquisitions, Was Acquired",For Profit,101-250,"SoftBank Group provides venture funding and strategic support to exceptional entrepreneurs building disruptive enduring businesses. They are a small team of experienced entrepreneurs and investors who take an ""active"" approach to helping their companies reach their full potential. They manage $600 million across three funds and invest across a company’s lifecycle, from early to growth stages.   Through their close ties to a number of Asia’s leading mobile, internet and technology companies – including strategic partners SoftBank Corp, Yahoo! Japan and Alibaba Group – SoftBank Capital offers unique expertise to businesses seeking to address the Asian market.  Since 1995, SoftBank Capital has partnered with internet pioneers such as Criteo, Gilt Groupe, OMGPOP (Zynga), betaworks, BuzzFeed, Buddy Media (Salesforce.com), Huffington Post (AOL), Associated Content (Yahoo!), Danger (Microsoft), Geocities (Yahoo!), E*Trade and Yahoo!.","Artificial Intelligence (AI), Finance, Financial Services, FinTech, Information Technology, Mobile, Risk Management, Software","Tokyo, Tokyo, Japan",SoftBank Group is a holding company focused on artificial intelligence and other emerging technologies.,"128,364"
Solera Holdings,https://www.crunchbase.com/organization/solera-holdings,$1B to $10B,Private,Active,"Made Acquisitions, Was Acquired",For Profit,5001-10000,"Solera is a leading global provider of integrated vehicle lifecycle and fleet management software-as-a-service, data, and services. Through four lines of business – vehicle claims, vehicle repairs, vehicle solutions and fleet solutions – Solera is home to many leading brands in the vehicle lifecycle ecosystem, including Identifix, Audatex, DealerSocket, Omnitracs, Spireon, LoJack, eDriving/Mentor, Explore, CAP HPI, Autodata, and others. Solera empowers its customers to succeed in the digital age by providing them with a “one-stop shop” solution that streamlines operations, offers data-driven analytics, and enhances customer engagement, which Solera believes helps customers drive sales, promote customer retention, and improve profit margins. Solera serves over 300,000 global customers and partners in 100+ countries. For more information, visit www.solera.com.","Artificial Intelligence (AI), Auto Insurance, Automotive, Enterprise Software, Insurance, InsurTech, Risk Management, SaaS, Software","West Lake Hills, Texas, United States",Solera is the global leader in vehicle lifecycle management.,"128,559"
Net0,https://www.crunchbase.com/organization/net0,$1B to $10B,Private,Active,,For Profit,51-100,"Net0 helps large companies and governments use AI to become more sustainable. Trusted by Fortune 500 companies and 7 governments, the software enables profitable decarbonization.","Artificial Intelligence (AI), Environmental Consulting, Machine Learning, Software, Sustainability","Dubai, Dubai, United Arab Emirates",Net0 helps large companies and governments use AI to become more sustainable.,"129,107"
Engender Technologies,https://www.crunchbase.com/organization/engender-technology,$1B to $10B,Private,Active,,For Profit,Nov-50,"Engender has developed a proprietary process to separate X (female) and Y (male) bearing bull sperm cells, enabling dairy farmers to accelerate genetic gain and improve productivity. Engender has secured scientific and laboratory facilities from one of the world’s largest AI companies in exchange for an option for it to non-exclusively license Engender’s technology.","Artificial Intelligence (AI), Biotechnology, Genetics, Health Care, Information Technology, Medical","Auckland, Auckland, New Zealand",Engender Technologies is developed a technology to separate X- and Y-bearing bull sperm cells.,"129,271"
P.A.I Tech,https://www.crunchbase.com/organization/p-a-i-tech,$10B+,Private,Active,,For Profit,Nov-50,"P.A.I Tech is an intelligent tool that supports the efficiency and accuracy of document work throughout the entire process. They create data platforms in the community for reading financial texts. Their business primarily focuses on creating platforms for big data and artificial intelligence-based financial text-reading, which increases user productivity in financial work.","Artificial Intelligence (AI), Finance, FinTech, Information Technology","Haidian, Beijing, China",P.A.I Tech is an artificial intelligence company that develops financial text reading data platform.,"129,984"
Coozyn,https://www.crunchbase.com/organization/coozyn,$1B to $10B,Private,Active,,For Profit,Nov-50,"Re-inventing online food ordering: Coozyn is an AI-based platform that specializes in the shared economy of food and logistics, and online food ordering through short videos.","Artificial Intelligence (AI), Delivery Service, E-Commerce, Food and Beverage, Logistics, Social Media, Software","San Francisco, California, United States","CooZyn is the one stop one needs to make to learn all about Sharing economy: Food & logistic, Instant grocery delivery, earring money.","130,405"
PickPack,https://www.crunchbase.com/organization/pickpack-ltd,$1B to $10B,Private,Active,,For Profit,Nov-50,"Pickpack provides end-to-end SaaS and crowdsourced delivery logistic platforms based on intelligent AI and machine learning. The platform provides a powerful real-time optimization algorithm for delivery routes which increases the efficiency of the orders and ensures the orders and drivers are matched accurately. The algorithm takes into account deliveries with pickups and drops for local delivery services, one pickup and multiple drops for logistic companies and retailers, time windows, vehicle capacities, on-demand deliveries, priority stops, traffic, driver speeds, driver shift times, driver breaks, driver service time and more.","Artificial Intelligence (AI), Delivery, E-Commerce, Enterprise Software, Last Mile Transportation, Logistics, Machine Learning, SaaS, Supply Chain Management","Rehovot, HaMerkaz, Israel",Pickpack provides end-to-end SaaS and crowdsourced delivery logistic platforms based on intelligent AI and machine learning.,"130,612"
C1,https://www.crunchbase.com/organization/c1,$1B to $10B,Private,Active,,For Profit,1001-5000,,"Artificial Intelligence (AI), Communications Infrastructure, Security, Software","Bloomington, Minnesota, United States","C1 provides AI-powered solutions for communications, infrastructure, and security.","131,967"
DataHawk Technologies,https://www.crunchbase.com/organization/datahawk-technologies,$1B to $10B,Private,Active,,For Profit,Nov-50,"DataHawk is an eCommerce analytics and optimization platform that provides software solutions for brands, retailers, and agencies to help them increase sales, optimize margins, boost productivity, and gain insights, notably on Amazon. Our software suite tackles challenges around Retail Search, Product Data Analytics, Market Research & Intelligence, Finance, Advertising, and Robotic Process Automation applied to eCommerce, on a self-serve basis with enterprise-grade capabilities and at an affordable price. Our vision is to be the essential operating system for omnichannel eCommerce, both on marketplaces and on owned-operated online stores for brands of all sizes. Today, we count hundreds of paying customers globally and thousands of users on our Free plan. DataHawk was founded in 2017, is based in Paris, France, with employees in both France and the USA.","Analytics, Artificial Intelligence (AI), B2B, E-Commerce, Marketing, Marketing Automation, SaaS, SEM, SEO, Software","Paris, Ile-de-France, France","DataHawk is a SaaS eCommerce Business Management Platform for Brands, Retailers, and Agencies.","132,838"
Tietoevry,https://www.crunchbase.com/organization/tieto,$1B to $10B,Private,Active,Made Acquisitions,For Profit,10001+,"Tieto Oyj provides various IT and product engineering services in Finland and internationally. It offers application management services; and transformation and enterprise architecture consulting, enterprise information management, industry and business consulting, lean business improvements, practical project steering, and project program and portfolio management services.`Tieto Oyj was founded in 1968 and is headquartered in Helsinki, Finland.","Analytics, Artificial Intelligence (AI), Business Development, Consulting, Enterprise Applications, Hardware, InsurTech, Management Consulting, SaaS, Software","Helsinki, Southern Finland, Finland","Tietoevry is a technology company that offers intelligent automation, enterprise applications, and security services.","134,180"
OpenArt,https://www.crunchbase.com/organization/openart-ad31,$1B to $10B,Private,Active,,For Profit,10-Jan,,"Artificial Intelligence (AI), Information Technology, Online Portals, Software","Redwood City, California, United States",OpenArt is a platform that generates AI images.,"134,294"
Patient Forecaster,https://www.crunchbase.com/organization/patient-forecaster,$1B to $10B,Private,Active,,For Profit,10-Jan,"Patient Forecaster is an AI-powered precision staffing platform, offering Emergency Department and Urgent Care Center leaders' greater predictability of patient volumes, bed capacity, staff scheduling and hospital admissions. Real-Time Data Feeds Real-time monitoring of external data including COVID-19, Flu Index, Weather, Air Quality, Local Events, and Holidays. Schedule Optimization Optimized staff schedules for Nurses, Techs, APPS and Physicians including start/stop time, shift length, patients per hour, patients per shift and required staff ratios. Hospital Operations Shift monitoring & hourly alerts indicating needed shift adjustments triggered by increases or decreases in patient volumes and the required staff coverage (ED and hospital).","Artificial Intelligence (AI), Health Care, Information Technology, Precision Medicine","Greenwood Village, Colorado, United States",Precision Staffing For Precision Medicine,"134,502"
Mirsee Robotics,https://www.crunchbase.com/organization/mirsee-robotics,$1B to $10B,Private,Active,,For Profit,10-Jan,"Mirsee Robotics provides CNC machining, injection molding, die casting, laser cutting, and 3D printing. They serve the academic, aerospace, government, commercial, healthcare, and defense industries.","Artificial Intelligence (AI), Computer Vision, Embedded Systems, Machine Learning, Robotics, Software","Cambridge, Ontario, Canada","Mirsee Robotics offers smart robotics, AI, engineering, and manufacturing solutions.","136,560"
Encounter AI,https://www.crunchbase.com/organization/encounter-ai,$1B to $10B,Private,Active,,For Profit,Nov-50,"Encounter AI  through a Voice AI system that handles orders at drive-thrus, kiosks, and over the phone, Encounter AI augments the operational frontlines of restaurants. The company is developing its own technology stack, based on technology developed by SRI International, the research institute behind Siri and Nuance.","Artificial Intelligence (AI), Customer Service, Hospitality, Machine Learning, Restaurants, Retail Technology, Software","San Francisco, California, United States",Encounter AI is a voice AI for Kiosks and Drive-Thrus.,"139,687"
Orderly Health,https://www.crunchbase.com/organization/orderly-health,$1B to $10B,Private,Active,,For Profit,Nov-50,"Orderly is an API-first data management platform to securely store, maintain, and access healthcare data through machine learning and artificial intelligence. We are on a mission to improve the patient experience and save our customers millions of dollars annually through better access to accurate data.","Artificial Intelligence (AI), Data Management, Finance, Health Care, Machine Learning, Software","Denver, Colorado, United States",Orderly Health leverages AI and ML to automatically clean and correct provider directory data for accuracy.,"140,247"
Vehere,https://www.crunchbase.com/organization/vehere,$1B to $10B,Private,Active,,For Profit,51-100,"Established in 2006 by brothers – Naveen and Praveen Jaiswal, Vehere has emerged as a leading Cyber Situational Awareness solution provider owing to the success of its new AI Powered PacketWorker and IntelliWorker platforms targeting Enterprise and National Security markets.  The solutions have delivered compelling return on investment to customers boosting cyber resilience and accelerating incident response capabilities.  Vehere has a multinational footprint across the United States, India, South East Asia, Middle East, Africa and, Armenia.  Our mission is to enable Cyber Situational Awareness by “securing” networks for empowering Enterprises, Telecoms and National Security Organizations to protect themselves.","Artificial Intelligence (AI), Cyber Security, Government, Information Technology, Network Security, Security, Software","New Delhi, Delhi, India",Vehere builds Heuristics and AI Powered intelligent and active solutions for real time Cyber Situational Awareness,"140,328"
Tangible AI,https://www.crunchbase.com/organization/tangible-ai,$1B to $10B,Private,Active,,For Profit,10-Jan,,"Artificial Intelligence (AI), Chatbot, Information Technology, Machine Learning","San Diego, California, United States","Tangible AI provides chatbots, data science, and machine learning solutions.","140,749"
Verix,https://www.crunchbase.com/organization/verix,$1B to $10B,Private,Active,Made Acquisitions,For Profit,51-100,"Verix is the leading provider of a Commercial Optimization Platform, an AI- based platform dedicated for Life Sciences Commercial Operations.  The platform leverages a plethora of data and cutting-edge technology to optimize strategy development and effective execution. Verix’s platform embed deep learning with abundant domain expertise to optimize essential processes such as HCP targeting, precision forecasting, channel optimization, patient discovery, and more,  in a continuous manner, to keep up with the dynamic nature of today’s life sciences market. Verix’s innovative Platform enables Fortune 500 pharmaceutical organizations worldwide to leverage their data and accelerate brand performance, in a flexible, accurate, fast, and easy- to-use manner.","Analytics, Artificial Intelligence (AI), Life Science, SaaS, Software","Mountain View, California, United States","Verix is a SaaS provider of a Commercial Optimization Platform, an AI- based platform dedicated for Life Sciences","140,948"
KUNGFU.AI,https://www.crunchbase.com/organization/kungfu-ai,$1B to $10B,Private,Active,,For Profit,Nov-50,,"Artificial Intelligence (AI), Information Technology, Machine Learning","Austin, Texas, United States","KUNGFU.AI provides data, machine learning and artificial intelligence services.","142,222"
Sesami,https://www.crunchbase.com/organization/sesami-cash-management-technologies,$1B to $10B,Private,Active,Made Acquisitions,For Profit,501-1000,"Sesami Cash Management Technologies is a tech-enabled cash ecosystem solution integrator that will operate as an independent entity. Sesami's solutions offer a pioneering approach to cash management, blending state-of-the-art technology with practical, user-friendly solutions.","Artificial Intelligence (AI), Finance, Information Technology","Montréal, Quebec, Canada",Sesami is an AI-driven smart cash management platform that helps consumer businesses in simplifying cash management activities.,"142,393"
KELLS,https://www.crunchbase.com/organization/kells-d7d3,$1B to $10B,Private,Active,,For Profit,Nov-50,"KELLS is an AI-powered dental benefits platform designed to make oral care more accessible, affordable, and personalized.","Artificial Intelligence (AI), Dental, Employee Benefits, Health Care","Long Island City, New York, United States","KELLS is an AI-powered dental benefits platform designed to make oral care more accessible, affordable, and personalized.","143,814"
Terramonitor,https://www.crunchbase.com/organization/terramonitor,$1B to $10B,Private,Active,,For Profit,Nov-50,"Terramonitor is the world's most dynamic, comprehensive and cloud free mapping and analyzing platform of the globe, which consists of over 100 million images. Terramonitor gives professionals the power to analyze, build and organize geographical information into actionable insights by  leveraging up-to-date satellite data and AI.","Analytics, Artificial Intelligence (AI), Machine Learning","Helsinki, Southern Finland, Finland","Terramonitor gives the power to analyze, build and organize geographical information into actionable insights.","143,929"
Ai Bloks,https://www.crunchbase.com/organization/ai-bloks-ddd4,$1B to $10B,Private,Active,,For Profit,10-Jan,,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning, Natural Language Processing, Software","Greenwich, Connecticut, United States",Ai Bloks provides a no-code AI platform that integrates semantic + generative AI to build evidence-based AI applications.,"144,114"
Sony AI,https://www.crunchbase.com/organization/sony-ai,$1B to $10B,Private,Active,,For Profit,51-100,,"Artificial Intelligence (AI), Gaming, Information Technology, Product Research, Technical Support","Tokyo, Tokyo, Japan","Sony AI is a research firm on artificial intelligence and works on projects in gastronomy, gaming, and AI ethics.","144,798"
Data2Discovery Inc,https://www.crunchbase.com/organization/data2discovery,$1B to $10B,Private,Active,,For Profit,Nov-50,"Data2Discovery is an IT consulting platform for drug discovery, disaster medicine, and food science. They provide services that include data science, linked data, machine learning, healthcare, drug discovery, and graph theory. Their customers' inquiries are addressed through phone, email, and online applications.","Analytics, Artificial Intelligence (AI), Biotechnology, Machine Learning, Pharmaceutical","Bloomington, Indiana, United States",Data2Discovery is an AI and analytics platform for drug discovery.,"146,289"
DriveOn,https://www.crunchbase.com/organization/driveon,$1B to $10B,Private,Active,,For Profit,10-Jan,"Through the powerful combination of Telemetry, Artificial Intelligence, Big Data and Blockchain, DriveOn want to empower drivers with strategic information about their mobility and drive them to driving perfection. And for that, we'll engage them by rewarding your information with Cryptomiles, the Drive Token Utility. With it you access the platform and consume all the available services of DriveOn. By plugging our hardware into the vehicle, you'll be able to generate your digital assets (tokens) as you send your mobility data to the platform. And these tokens can be exchanged on the platform for discounts with insurers, gas stations, dealers, auto parts, and many other services.","Artificial Intelligence (AI), B2B, B2C, Blockchain, Insurance, Machine Learning, Software","Florianópolis, Santa Catarina, Brazil",DriveOn empowers drivers with strategic information about their mobility and drives them to driving perfection.,"146,696"
Inkeep,https://www.crunchbase.com/organization/inkeep,$1B to $10B,Private,Active,,For Profit,10-Jan,"Inkeep leverages large language models (LLMs) to understand a company’s docs, GitHub issues, StackOverflow threads, community channels, support tickets, and more to provide immediate answers to developer questions.  Inkeep's best-in-class retrieval and search algorithms to find the content that's most relevant to answering customer questions while minimizing hallucinations.  Our search and chat are available as APIs and as beautiful, fully customizable UX experiences.","Artificial Intelligence (AI), B2B, Customer Service, Developer Tools, Machine Learning, SaaS, Search Engine, Semantic Search","San Francisco, California, United States",AI search and chat for developer products.,"146,731"
ECS Federal,https://www.crunchbase.com/organization/ecs-federal,$1B to $10B,Private,Active,"Made Acquisitions, Was Acquired",For Profit,1001-5000,"ECS Federal has established a culture built to attract, recognize, and retain the very best professionals for their projects. Every day, their employees focus on providing their technical talent to support the Federal Agencies and Departments of the US Government to serve, protect and defend the American People.","Artificial Intelligence (AI), Cloud Infrastructure, Compliance, Consulting, Cyber Security, Information Technology, Machine Learning, Security, Software","Fairfax, Virginia, United States","ECS is a technology company providing cybersecurity, cloud solutions and complementary IT capabilities.","146,977"
Wluper,https://www.crunchbase.com/organization/wluper,$1B to $10B,Private,Active,,For Profit,Nov-50,"Wluper is an advanced voice-based conversational AI platform that allows organisations to leverage advanced natural language capabilities to create meaningful experiences for their workforce. With a layer of unique language understanding skills, you can create and calibrate the workforce experience within your industry or sector, strengthen your position and empower your staff with an innovative solution that scales. Learn more at www.wluper.com.","Artificial Intelligence (AI), Machine Learning, Natural Language Processing","London, England, United Kingdom",Advanced Conversational AI to provide powerful voice-first experiences for any industry.,"148,942"
AIBrain,https://www.crunchbase.com/organization/aibrain,$1B to $10B,Private,Active,,For Profit,Nov-50,"AIBrain is an artificial intelligence company headquartered Menlo Park, California. AIBrain offers conversational artificial intelligence with cognitive reasoning engine. AIBrain develops a true intelligent agent by unifying problem-solving, learning and memory. Building an autonomous agent of social intelligence with humans as well as with robotic agents is a central focus.","Artificial Intelligence (AI), Machine Learning, Robotics","Menlo Park, California, United States","AIBrain is an artificial intelligence company headquartered at Menlo Park, California.","149,170"
Vape-Jet,https://www.crunchbase.com/organization/vape-jet,$1B to $10B,Private,Active,,For Profit,Nov-50,"Founded in May 2019, Vape-Jet merges a pharmaceutical-grade fluid handling system with advanced machine vision alignment. Software driven design allows for precise tuning on every aspect of operation, and full web capability allows you to control the system via any internet-enabled device. Configuration profiles can be easily created, updated and saved for different product types, allowing for quick and easy batch changes. Three independently controlled heat zones provide stable and precise temperatures, ensuring reliable and accurate fluid dispensing. Individual cartridge fill data reporting with photo verification provides traceability and quality assurance. Machine vision alignment allows fills direct to shipping trays, without the need to transfer into a jig. Our expert team of in-house engineers are available for support via live-chat, phone, and email. As your company and goals evolve, we will adapt with your vision. We create customized support and maintenance packages to align with current initiatives, and future growth. Vape-Jet is cash flow positive and profitable in 2020, approximately a year after inception.","Artificial Intelligence (AI), Cannabis, Computer Vision, Industrial, Machine Learning, Machinery Manufacturing, Manufacturing, Software","Tigard, Oregon, United States","The world's most advanced automatic vape cartridge filling system, using machine vision learning and software.","149,820"
Hyfe,https://www.crunchbase.com/organization/hyfe,$1B to $10B,Private,Active,,For Profit,Nov-50,"Hyfe provides AI models that accurately detect, monitor, and analyze cough. The models run passively on any device with a mic & a chipset, 24/7, in any real-world acoustic environment, and are built on the world’s largest cough database (20B datapoints,  20M coughs). Hyfe’s monitoring tools allow continuous monitoring via simple app, wearable or medical device. Hyfe has pioneered data-driven insights for coughers and clinicians - showing correlations to disease and predicting risks and outcomes based on cough frequency patterns.","Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device, Precision Medicine, Software","Wilmington, Delaware, United States","Market Leader in cough care. Hyfe.ai enables precision medicine in respiratory health, using AI, and the world's largest cough database.","150,769"
Sees.ai,https://www.crunchbase.com/organization/sees-ai,$1B to $10B,Private,Active,,For Profit,Nov-50,"At sees.ai we are developing the Operating System that will unlock the safe operation of unmanned aerial vehicle (UAV) fleets at national scale. Our eventual aim is unlocking aerial mobility, but our start point in enabling close inspection of industrial assets from the air – radically improving efficiency, safety and environmental impact – while capturing performance data that will enable us to evolve and prove the safety of our system. We hold the most advanced UAV permission ever given by the UK Civil Aviation Authority and are currently testing our system with Skanska, Sellafield, HS2, Network Rail, National Grid, amongst others.","Artificial Intelligence (AI), Drones, Industrial Automation, Robotics, Software","Lavant, West Sussex, United Kingdom",Unlocking the safe operation of unmanned aerial vehicle (UAV) fleets at national scale.,"152,121"
Clari5,https://www.crunchbase.com/organization/customerxps-software,$1B to $10B,Private,Active,Was Acquired,For Profit,101-250,"Clari5 is a financial crime management platform that was developed to protect banks against fraud and money laundering. The company's platform monitors web and mobile channels in real time for both login and post-login transactions, correlates and detects suspicious customer and account behavior, and provides banks with real-time risk advice, allowing them to decline or change the transaction or open a case for manual investigation.","Artificial Intelligence (AI), Banking, Compliance, Enterprise Software, Financial Services, FinTech, Fraud Detection, Machine Learning, Risk Management, Software","Bengaluru, Karnataka, India",Clari5 is a financial crime management platform that was developed to protect banks against fraud and money laundering.,"152,326"
Stageinhome,https://www.crunchbase.com/organization/stageinhome,$1B to $10B,Private,Active,,For Profit,10-Jan,"StageInHome is a pay-per-use platform that benefits from artificial intelligence to provide virtual Home Staging proposals, applying different contemporary decoration styles, in a matter of seconds and at a fraction of the current Home Staging projects. The staged pictures of the property belong to the user and can be used to publish on real estate listings or as a source of inspiration to renew the current decoration of the property.","Artificial Intelligence (AI), Furniture, Home Decor, Interior Design, Machine Learning, Real Estate, Software","Barcelona, Catalonia, Spain",SaaS to provide automatic real estate home staging using AI/ML,"152,695"
Cardiomatics,https://www.crunchbase.com/organization/cardiomatics,$1B to $10B,Private,Active,,For Profit,Nov-50,"Cardiomatics offers cutting-edge, cloud AI-based digital analysis of ECG data. It is a medical-grade system, based on accurate algorithms, ensuring high-quality and trusted outcomes. As a digital health technology developer, Cardiomatics cooperates with physicians, manufacturers, and providers of ECG devices globally.","Artificial Intelligence (AI), Health Care","Kraków, Malopolskie, Poland",We’re on a mission to bring AI to cardiac diagnostic and treatment.,"153,677"
Village Labs,https://www.crunchbase.com/organization/village-labs,$1B to $10B,Private,Active,,For Profit,Nov-50,"Village isn't just another AI connected to your company's apps and data. Its breakthrough Organizational Memory (OM1) delivers unbelievable answers, analysis, and work products that saves every employee 8 hours each week.","Artificial Intelligence (AI), SaaS","San Francisco, California, United States",Enterprise AI / Search,"154,763"
Nuance Communications,https://www.crunchbase.com/organization/nuance,$1B to $10B,Delisted,Active,"Made Acquisitions, Was Acquired",For Profit,5001-10000,"Nuance Communications (NASDAQ: NUAN) is a pioneer and leader in conversational AI innovations that bring intelligence to everyday work and life. The company delivers solutions that understand, analyze, and respond to people – amplifying human intelligence to increase productivity and security. With decades of domain and AI expertise, Nuance works with thousands of organizations globally across healthcare, financial services, telecommunications, government, and retail – to create stronger relationships and better experiences for their customers and workforce. For more information, please visit www.nuance.com.","Artificial Intelligence (AI), Enterprise Software, Health Care, Machine Learning","Burlington, Massachusetts, United States",Nuance Communications provides conversational AI innovations that bring intelligence to everyday work and life.,"155,878"
UniQreate,https://www.crunchbase.com/organization/uniqreate-limited,$1B to $10B,Private,Active,,For Profit,Nov-50,"At UniQreate, we maximize the economic value of unstructured data by automating the ‘document > database worthy data’ for business users. Using a Data Centric approach and a no code application with Smart UI and an AI learning engine, we empower businesses to build a data culture - by moving away from manual processes or technical scripting.","Artificial Intelligence (AI), Cloud Data Services, Document Management, Information Technology, Machine Learning, Natural Language Processing, SaaS, Software, Text Analytics","New York, New York, United States","At UniQreate, we maximize the economic value of unstructured data by automating the ‘document > database worthy data’ for business users.","156,242"
"FACTIC, INC",https://www.crunchbase.com/organization/factic-inc,$1B to $10B,Private,Active,,For Profit,10-Jan,"FACTIC, INC is a Silicon Valley-headquartered innovator in Artificial Intelligence for the Food and Beverage industry that uses AI to automate decision-making processes in factory environments. 40% of all data generated in factories is never stored and less than 1% is used for decision making. FACTIC, INC is looking to change this and democratize the use of advanced supply chain software usage by providing easy-to-install, rapidly deployable, cost-beneficial software for all types of SMB’s in Food and Beverage. FACTIC, INC’s cloud-based solution, FACTIC Brain, combines historic company data with smart data to provide savings in stock management and purchasing costs.","Artificial Intelligence (AI), Machine Learning, Software","Redwood, Virginia, United States",Artificial Intelligence software for decision automation in factory environments,"159,687"
katch,https://www.crunchbase.com/organization/katch-af4e,$1B to $10B,Private,Active,,For Profit,Nov-50,"katch is an anti-calendar product that gives users more time to do whatever is important at the time. katch was founded by Paul Murphy, Edwin Akrong, and Alessandra Knight.","Artificial Intelligence (AI), Email, Scheduling, Software, Virtual Assistant","Los Angeles, California, United States",katch is an anti-calendar product that gives users more time to do whatever is important at the time.,"160,114"
